scenario,n_pat,recruitment, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_survival_trt, median_survival_ctrl,big dataset run,small dataset run
1,300,547.875,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222
1,300,913.125,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222
2,1500,547.875,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223
2,1500,913.125,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223
3,300,547.875,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220
3,300,913.125,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220
4,1500,547.875,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221
4,1500,913.125,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221
5,300,547.875,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218
5,300,913.125,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218
6,1500,547.875,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219
6,1500,913.125,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219
7,300,547.875,225,150,150,0.000632577851298148,0.5,0.803069661752604,1364.45199238215,1095.75,run86,run212
7,300,913.125,225,150,150,0.000632577851298148,0.5,0.803069661752604,1364.45199238215,1095.75,run86,run212
8,1500,547.875,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1208.66830714622,1095.75,,run213
8,1500,913.125,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1208.66830714622,1095.75,,run213
9,300,547.875,225,150,150,0.00189773355389444,0.5,0.803069661752604,454.81733079405,365.25,run70,run202
9,300,913.125,225,150,150,0.00189773355389444,0.5,0.803069661752604,454.81733079405,365.25,run70,run202
10,1500,547.875,1125,750,750,0.00189773355389444,0.5,0.906576265400032,402.889435715407,365.25,run71,run203
10,1500,913.125,1125,750,750,0.00189773355389444,0.5,0.906576265400032,402.889435715407,365.25,run71,run203
11,300,547.875,225,150,150,0.00379546710778889,0.5,0.803069661752604,227.408665397025,182.625,run78,run206
11,300,913.125,225,150,150,0.00379546710778889,0.5,0.803069661752604,227.408665397025,182.625,run78,run206
12,1500,547.875,1125,750,750,0.00379546710778889,0.5,0.906576265400032,201.444717857704,182.625,run79,run207
12,1500,913.125,1125,750,750,0.00379546710778889,0.5,0.906576265400032,201.444717857704,182.625,run79,run207
13,300,547.875,225,150,150,0.000632577851298148,0.8,0.71782463450428,1526.48703782186,1095.75,run88,run214
13,300,913.125,225,150,150,0.000632577851298148,0.8,0.71782463450428,1526.48703782186,1095.75,run88,run214
14,1500,547.875,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1270.87263071373,1095.75,,run215
14,1500,913.125,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1270.87263071373,1095.75,,run215
15,300,547.875,225,150,150,0.00189773355389444,0.8,0.71782463450428,508.829012607287,365.25,run75,run200
15,300,913.125,225,150,150,0.00189773355389444,0.8,0.71782463450428,508.829012607287,365.25,run75,run200
16,1500,547.875,1125,750,750,0.00189773355389444,0.8,0.862202846704332,423.624210237909,365.25,run73,run201
16,1500,913.125,1125,750,750,0.00189773355389444,0.8,0.862202846704332,423.624210237909,365.25,run73,run201
17,300,547.875,225,150,150,0.00379546710778889,0.8,0.71782463450428,254.414506303644,182.625,run80,run208
17,300,913.125,225,150,150,0.00379546710778889,0.8,0.71782463450428,254.414506303644,182.625,run80,run208
18,1500,547.875,1125,750,750,0.00379546710778889,0.8,0.862202846704332,211.812105118955,182.625,run81,run209
18,1500,913.125,1125,750,750,0.00379546710778889,0.8,0.862202846704332,211.812105118955,182.625,run81,run209
19,300,547.875,225,150,150,0.000632577851298148,0.9,0.676930033682325,1618.70495542856,1095.75,run89,run216
19,300,913.125,225,150,150,0.000632577851298148,0.9,0.676930033682325,1618.70495542856,1095.75,run89,run216
20,1500,547.875,1125,750,750,0.000632577851298148,0.9,0.839879296815719,1304.65175669215,1095.75,,run217
20,1500,913.125,1125,750,750,0.000632577851298148,0.9,0.839879296815719,1304.65175669215,1095.75,,run217
21,300,547.875,225,150,150,0.00189773355389444,0.9,0.676930033682325,539.568318476186,365.25,run72,run204
21,300,913.125,225,150,150,0.00189773355389444,0.9,0.676930033682325,539.568318476186,365.25,run72,run204
22,1500,547.875,1125,750,750,0.00189773355389444,0.9,0.839879296815719,434.883918897385,365.25,run74,run205
22,1500,913.125,1125,750,750,0.00189773355389444,0.9,0.839879296815719,434.883918897385,365.25,run74,run205
23,300,547.875,225,150,150,0.00379546710778889,0.9,0.676930033682325,269.784159238093,182.625,run83,run210
23,300,913.125,225,150,150,0.00379546710778889,0.9,0.676930033682325,269.784159238093,182.625,run83,run210
24,1500,547.875,1125,750,750,0.00379546710778889,0.9,0.839879296815719,217.441959448692,182.625,run82,run211
24,1500,913.125,1125,750,750,0.00379546710778889,0.9,0.839879296815719,217.441959448692,182.625,run82,run211
