scenario,n_pat,recruitment, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_survival_trt, median_survival_ctrl,big dataset run,small dataset run,med_diff,AHR_6m,AHR_12m,gAHR_6m,gAHR_12m,milestone_surv_ratio_6m,milestone_surv_ratio_12m,RMST_diff_6m,RMST_diff_12m
1,300,547.875,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222,0.00,1,1,1,1,1,1,0,0
1,300,913.125,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222,0.00,1,1,1,1,1,1,0,0
2,1500,547.875,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223,0.00,1,1,1,1,1,1,0,0
2,1500,913.125,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223,0.00,1,1,1,1,1,1,0,0
3,300,547.875,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220,0.00,1,1,1,1,1,1,0,0
3,300,913.125,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220,0.00,1,1,1,1,1,1,0,0
4,1500,547.875,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221,0.00,1,1,1,1,1,1,0,0
4,1500,913.125,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221,0.00,1,1,1,1,1,1,0,0
5,300,547.875,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218,0.000,1,1,1,1,1,1,0,0
5,300,913.125,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218,0.000,1,1,1,1,1,1,0,0
6,1500,547.875,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219,0.000,1,1,1,1,1,1,0,0
6,1500,913.125,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219,0.000,1,1,1,1,1,1,0,0
7,300,547.875,225,150,150,0.000632577851298148,0.5,0.803069661752604,1423.000388,1095.75,run86,run212,327.250388,3.181871689524180,1.8873994730576000,2.9505821436519700,1.7069563846983800,0.8232762259886240,0.8885368009283610,-28.467269213988500,-50.890414435224900
7,300,913.125,225,150,150,0.000632577851298148,0.5,0.803069661752604,1423.000388,1095.75,run86,run212,327.250388,3.181871689524180,1.8873994730576000,2.9505821436519700,1.7069563846983800,0.8232762259886240,0.8885368009283610,-28.467269213988500,-50.890414435224900
8,1500,547.875,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1231.593344,1095.75,,run213,135.843344,3.3817682185773400,2.100442313809070,3.145887060551490,1.8952346156661100,0.7890775842064490,0.8426197762847900,-31.791092223424800,-60.21160027212000
8,1500,913.125,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1231.593344,1095.75,,run213,135.843344,3.3817682185773400,2.100442313809070,3.145887060551490,1.8952346156661100,0.7890775842064490,0.8426197762847900,-31.791092223424800,-60.21160027212000
9,300,547.875,225,150,150,0.00189773355389444,0.5,0.803069661752604,474.3334626,365.25,run70,run202,109.0834626,1.6004197835519700,1.1804319031246700,1.4564012391844400,1.0203997559873300,0.9000008008382720,1.101288296063850,-21.98094441591660,-23.554815461216600
9,300,913.125,225,150,150,0.00189773355389444,0.5,0.803069661752604,474.3334626,365.25,run70,run202,109.0834626,1.6004197835519700,1.1804319031246700,1.4564012391844400,1.0203997559873300,0.9000008008382720,1.101288296063850,-21.98094441591660,-23.554815461216600
10,1500,547.875,1125,750,750,0.00189773355389444,0.5,0.906576265400032,410.5311145,365.25,run71,run203,45.2811145,1.6280149277026500,1.221971294240250,1.4859078483815400,1.0584667765198200,0.8799333876959290,1.0626023608340400,-23.26320952752660,-27.442623741327200
10,1500,913.125,1125,750,750,0.00189773355389444,0.5,0.906576265400032,410.5311145,365.25,run71,run203,45.2811145,1.6280149277026500,1.221971294240250,1.4859078483815400,1.0584667765198200,0.8799333876959290,1.0626023608340400,-23.26320952752660,-27.442623741327200
11,300,547.875,225,150,150,0.00379546710778889,0.5,0.803069661752604,237.1667313,182.625,run78,run206,54.5417313,1.1534934626397700,0.9509806806842930,1.0319865358991500,0.7860354500766740,1.072223877261850,1.629237541892700,-10.327577577455300,9.142879489529280
11,300,913.125,225,150,150,0.00379546710778889,0.5,0.803069661752604,237.1667313,182.625,run78,run206,54.5417313,1.1534934626397700,0.9509806806842930,1.0319865358991500,0.7860354500766740,1.072223877261850,1.629237541892700,-10.327577577455300,9.142879489529280
12,1500,547.875,1125,750,750,0.00379546710778889,0.5,0.906576265400032,205.2655573,182.625,run79,run207,22.6405573,1.1790542504960700,0.9824780522431920,1.0589474235023900,0.8145965139766620,1.040205386807560,1.55258917365119,-11.63141734532910,5.100497894638500
12,1500,913.125,1125,750,750,0.00379546710778889,0.5,0.906576265400032,205.2655573,182.625,run79,run207,22.6405573,1.1790542504960700,0.9824780522431920,1.0589474235023900,0.8145965139766620,1.040205386807560,1.55258917365119,-11.63141734532910,5.100497894638500
13,300,547.875,225,150,150,0.000632577851298148,0.8,0.71782463450428,1591.988329,1095.75,run88,run214,496.238329,2.8082276430387000,1.6449410009186100,2.613648230891020,1.4963969473344300,0.8537320784901660,0.9279783379959210,-25.304667480946000,-42.36197701629800
13,300,913.125,225,150,150,0.000632577851298148,0.8,0.71782463450428,1591.988329,1095.75,run88,run214,496.238329,2.8082276430387000,1.6449410009186100,2.613648230891020,1.4963969473344300,0.8537320784901660,0.9279783379959210,-25.304667480946000,-42.36197701629800
14,1500,547.875,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1294.977508,1095.75,,run215,199.227508,3.2206304604104200,1.9864820213028200,2.9994078299568100,1.796850677163630,0.8025357512034550,0.8606408000136440,-30.46153764283030,-56.457889160975200
14,1500,913.125,1125,750,750,0.000632577851298148,0.8,0.862202846704332,1294.977508,1095.75,,run215,199.227508,3.2206304604104200,1.9864820213028200,2.9994078299568100,1.796850677163630,0.8025357512034550,0.8606408000136440,-30.46153764283030,-56.457889160975200
15,300,547.875,225,150,150,0.00189773355389444,0.8,0.71782463450428,530.6627762,365.25,run75,run200,165.4127762,1.5164538770974600,1.11095228692681,1.3805716862437700,0.9607820060069010,0.9225496613388640,1.1409013778816200,-20.173504099910000,-18.498549062695600
15,300,913.125,225,150,150,0.00189773355389444,0.8,0.71782463450428,530.6627762,365.25,run75,run200,165.4127762,1.5164538770974600,1.11095228692681,1.3805716862437700,0.9607820060069010,0.9225496613388640,1.1409013778816200,-20.173504099910000,-18.498549062695600
16,1500,547.875,1125,750,750,0.00189773355389444,0.8,0.862202846704332,431.6591694,365.25,run73,run201,66.4091694,1.604536442812900,1.2018167319498600,1.4644508269247100,1.0409951518560700,0.8863119712941200,1.0740036491461500,-22.768379536428600,-26.01790334617590
16,1500,913.125,1125,750,750,0.00189773355389444,0.8,0.862202846704332,431.6591694,365.25,run73,run201,66.4091694,1.604536442812900,1.2018167319498600,1.4644508269247100,1.0409951518560700,0.8863119712941200,1.0740036491461500,-22.768379536428600,-26.01790334617590
17,300,547.875,225,150,150,0.00379546710778889,0.8,0.71782463450428,265.3313881,182.625,run80,run208,82.7063881,1.109748718628860,0.9094447394723720,0.9908971560441690,0.7495169608139830,1.1003631843344300,1.6955585570460300,-8.814952693434420,13.584710812058600
17,300,913.125,225,150,150,0.00379546710778889,0.8,0.71782463450428,265.3313881,182.625,run80,run208,82.7063881,1.109748718628860,0.9094447394723720,0.9908971560441690,0.7495169608139830,1.1003631843344300,1.6955585570460300,-8.814952693434420,13.584710812058600
18,1500,547.875,1125,750,750,0.00379546710778889,0.8,0.862202846704332,215.8295847,182.625,run81,run209,33.2045847,1.1624864903561300,0.9665482489769910,1.0432181656584600,0.8005227481102940,1.0508579771156100,1.5771499403081300,-11.064749924212000,6.769658016449300
18,1500,913.125,1125,750,750,0.00379546710778889,0.8,0.862202846704332,215.8295847,182.625,run81,run209,33.2045847,1.1624864903561300,0.9665482489769910,1.0432181656584600,0.8005227481102940,1.0508579771156100,1.5771499403081300,-11.064749924212000,6.769658016449300
19,300,547.875,225,150,150,0.000632577851298148,0.9,0.676930033682325,1688.163301,1095.75,run89,run216,592.413301,2.615921960869640,1.523420762587160,2.44019907982927,1.389939632092570,0.869745581410649,0.9485859961869000,-23.58623882572910,-37.8702297119767
19,300,913.125,225,150,150,0.000632577851298148,0.9,0.676930033682325,1688.163301,1095.75,run89,run216,592.413301,2.615921960869640,1.523420762587160,2.44019907982927,1.389939632092570,0.869745581410649,0.9485859961869000,-23.58623882572910,-37.8702297119767
20,1500,547.875,1125,750,750,0.000632577851298148,0.9,0.839879296815719,1329.397329,1095.75,,run217,233.647329,3.194887436291790,1.968761540377330,2.9759796101618200,1.7815269077819200,0.8047039929678090,0.8634817636558280,-30.246634334759500,-55.860519062110800
