scenario,n_pat,recruitment, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_survival_trt, median_survival_ctrl,big dataset run,small dataset run,med_diff,AHR_6m,AHR_12m,gAHR_6m,gAHR_12m,milestone_surv_ratio_6m,milestone_surv_ratio_12m,milestone_surv_ratio_24m,RMST_diff_6m,RMST_diff_12m
1,300,547.875,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222,0.00,1,1,1,1,1,1,1,0,0
1,300,913.125,225,150,150,0.000632577851298148,0,1,1095.75,1095.75,,run222,0.00,1,1,1,1,1,1,1,0,0
2,1500,547.875,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223,0.00,1,1,1,1,1,1,1,0,0
2,1500,913.125,1125,750,750,0.000632577851298148,0,1,1095.75,1095.75,,run223,0.00,1,1,1,1,1,1,1,0,0
3,300,547.875,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220,0.00,1,1,1,1,1,1,1,0,0
3,300,913.125,225,150,150,0.00189773355389444,0,1,365.25,365.25,run761,run220,0.00,1,1,1,1,1,1,1,0,0
4,1500,547.875,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221,0.00,1,1,1,1,1,1,1,0,0
4,1500,913.125,1125,750,750,0.00189773355389444,0,1,365.25,365.25,run771,run221,0.00,1,1,1,1,1,1,1,0,0
5,300,547.875,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218,0.000,1,1,1,1,1,1,1,0,0
5,300,913.125,225,150,150,0.00379546710778889,0,1,182.625,182.625,run85,run218,0.000,1,1,1,1,1,1,1,0,0
6,1500,547.875,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219,0.000,1,1,1,1,1,1,1,0,0
6,1500,913.125,1125,750,750,0.00379546710778889,0,1,182.625,182.625,run84,run219,0.000,1,1,1,1,1,1,1,0,0
7,300,547.875,225,150,150,0.000632577851298148,0.5,0.803069661752604,1423.000388,1095.75,run86,run212,303.45833333333300,3.2269303060943000,1.9112488602734700,2.9925569557772900,1.7283036081991700,0.8205195651198150,0.8844681821482660,1.0226124072564600,-28.77584637044540,-51.795951681847400
7,300,913.125,225,150,150,0.000632577851298148,0.5,0.803069661752604,1423.000388,1095.75,run86,run212,303.45833333333300,3.2269303060943000,1.9112488602734700,2.9925569557772900,1.7283036081991700,0.8205195651198150,0.8844681821482660,1.0226124072564600,-28.77584637044540,-51.795951681847400
8,1500,547.875,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1231.593344,1095.75,,run213,125.99020833333300,3.405727440955420,2.1107613628535500,3.1618097099911300,1.9018571790634700,0.788008586174814,0.8416206023276060,0.9595775568507690,-31.93450435576330,-60.52700557583630
8,1500,913.125,1125,750,750,0.000632577851298148,0.5,0.906576265400032,1231.593344,1095.75,,run213,125.99020833333300,3.405727440955420,2.1107613628535500,3.1618097099911300,1.9018571790634700,0.788008586174814,0.8416206023276060,0.9595775568507690,-31.93450435576330,-60.52700557583630
9,300,547.875,225,150,150,0.00189773355389444,0.5,0.803069661752604,474.3334626,365.25,run70,run202,88.23616666666660,1.623577788389240,1.2041489635578,1.4783881776826100,1.0419718884705000,0.8921717934889590,1.086304792741640,1.5957535702830800,-22.407304142686300,-25.036639180893100
9,300,913.125,225,150,150,0.00189773355389444,0.5,0.803069661752604,474.3334626,365.25,run70,run202,88.23616666666660,1.623577788389240,1.2041489635578,1.4783881776826100,1.0419718884705000,0.8921717934889590,1.086304792741640,1.5957535702830800,-22.407304142686300,-25.036639180893100
10,1500,547.875,1125,750,750,0.00189773355389444,0.5,0.906576265400032,410.5311145,365.25,run71,run203,58.627791666666700,1.6380403933295500,1.2312380657622800,1.493773085901520,1.0658228597138700,0.8776123858661720,1.0580772001150600,1.5196952660691400,-23.49733941901440,-28.020877698109300
10,1500,913.125,1125,750,750,0.00189773355389444,0.5,0.906576265400032,410.5311145,365.25,run71,run203,58.627791666666700,1.6380403933295500,1.2312380657622800,1.493773085901520,1.0658228597138700,0.8776123858661720,1.0580772001150600,1.5196952660691400,-23.49733941901440,-28.020877698109300
11,300,547.875,225,150,150,0.00379546710778889,0.5,0.803069661752604,237.1667313,182.625,run78,run206,34.80554166666660,1.1817407301179600,0.976205094242733,1.0585133819733600,0.8074832655649230,1.054432016283020,1.5922269261419800,3.506435100822440,-11.288061110533100,6.518486274684310
