n_pat, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_trt, median_ctrl
300, 225, 150, 150, 0.000632577851298148, 0, 1, 1095.75, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0, 1, 1095.75, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0, 1, 1095.75, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0, 1, 1095.75, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0, 1, 365.25, 365.25
500, 375, 250, 250, 0.00189773355389444, 0, 1, 365.25, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0, 1, 365.25, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0, 1, 365.25, 365.25
300, 225, 150, 150, 0.00379546710778889, 0, 1, 182.625, 182.625
500, 375, 250, 250, 0.00379546710778889, 0, 1, 182.625, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0, 1, 182.625, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0, 1, 182.625, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.5, 0.803069661752604, 1364.45199238215, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.5, 0.843766271610044, 1298.64162253029, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.5, 0.886811241623891, 1235.60679947348, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.5, 0.906576265400032, 1208.66830714622, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.5, 0.803069661752604, 454.81733079405, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.5, 0.843766271610044, 432.880540843429, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.5, 0.886811241623891, 411.868933157827, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.5, 0.906576265400032, 402.889435715407, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.5, 0.803069661752604, 227.408665397025, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.5, 0.843766271610044, 216.440270421715, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.5, 0.886811241623891, 205.934466578914, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.5, 0.906576265400032, 201.444717857704, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.8, 0.71782463450428, 1526.48703782186, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.8, 0.773521340865745, 1416.57371569556, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.8, 0.833946148123213, 1313.93376234901, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.8, 0.862202846704332, 1270.87263071373, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.8, 0.71782463450428, 508.829012607287, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.8, 0.773521340865745, 472.191238565186, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.8, 0.833946148123213, 437.977920783004, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.8, 0.862202846704332, 423.624210237909, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.8, 0.71782463450428, 254.414506303644, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.8, 0.773521340865745, 236.095619282593, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.8, 0.833946148123213, 218.988960391502, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.8, 0.862202846704332, 211.812105118955, 182.625
300, 225, 150, 150, 0.000632577851298148, 0.9, 0.676930033682325, 1618.70495542856, 1095.75
500, 375, 250, 250, 0.000632577851298148, 0.9, 0.739162250015177, 1482.42148456242, 1095.75
1000, 750, 500, 500, 0.000632577851298148, 0.9, 0.807578981971547, 1356.83323174773, 1095.75
1500, 1125, 750, 750, 0.000632577851298148, 0.9, 0.839879296815719, 1304.65175669215, 1095.75
300, 225, 150, 150, 0.00189773355389444, 0.9, 0.676930033682325, 539.568318476186, 365.25
500, 375, 250, 250, 0.00189773355389444, 0.9, 0.739162250015177, 494.140494854141, 365.25
1000, 750, 500, 500, 0.00189773355389444, 0.9, 0.807578981971547, 452.277743915912, 365.25
1500, 1125, 750, 750, 0.00189773355389444, 0.9, 0.839879296815719, 434.883918897385, 365.25
300, 225, 150, 150, 0.00379546710778889, 0.9, 0.676930033682325, 269.784159238093, 182.625
500, 375, 250, 250, 0.00379546710778889, 0.9, 0.739162250015177, 247.070247427071, 182.625
1000, 750, 500, 500, 0.00379546710778889, 0.9, 0.807578981971547, 226.138871957956, 182.625
1500, 1125, 750, 750, 0.00379546710778889, 0.9, 0.839879296815719, 217.441959448692, 182.625
