recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, target_median_trt, target_hr, random_withdrawal, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m, old_seed, median_survival_trt, median_survival_ctrl, rmst_trt_360m, rmst_ctrl_360m, gAHR_360m, AHR_360m, node_name
547.875, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 287813602, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 210289075, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1989377632, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1227875490, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 804219838, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 1878303985, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 5668083, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0, 0, 0, 0.000632577851298148, 1095.75, 1, 0, 172.47091664017, 172.47091664017, 1, 1, 326.125035191387, 326.125035191387, 1, 1, 0.890898718140339, 0.890898718140339, 0.7937005259841, 0.7937005259841, 686922567, 1095.75, 1095.75, 1579.2893087386, 1579.2893087386, 1, 1, ims-node2
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 1048513489, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0, 0, 0, 0.00189773355389444, 365.25, 1, 0, 154.338430815216, 154.338430815216, 1, 1, 263.472181842347, 263.472181842347, 1, 1, 0.707106781186548, 0.707106781186548, 0.5, 0.5, 2116500857, 365.250000000001, 365.250000000001, 526.94436319394, 526.94436319394, 1, 1, ims-node2
